1000
_1_	N=200	M=167		S=33	Z=19	B=77	D1=56	D2=53	C=0.3117	D=0.9464	X=0.0823	

_2_	N=400	M=328		S=72	Z=21	B=135	D1=91	D2=94	C=0.3259	D=0.9681	X=0.0659	

_3_	N=600	M=507		S=93	Z=22	B=170	D1=113	D2=116	C=0.3353	D=0.9741	X=0.0707	

_4_	N=800	M=683		S=117	Z=25	B=206	D1=149	D2=147	C=0.2864	D=0.9866	X=0.0660	

_5_	N=1000	M=837		S=163	Z=25	B=224	D1=175	D2=161	C=0.2813	D=0.9200	X=0.0707	

_6_	N=1200	M=1020		S=180	Z=25	B=244	D1=186	D2=183	C=0.2500	D=0.9839	X=0.0690	

_7_	N=1400	M=1171		S=229	Z=24	B=242	D1=189	D2=200	C=0.2190	D=0.9450	X=0.0677	

_8_	N=1600	M=1337		S=263	Z=24	B=240	D1=192	D2=183	C=0.2375	D=0.9531	X=0.0751	

_9_	N=1800	M=1509		S=291	Z=24	B=256	D1=198	D2=220	C=0.2266	D=0.9000	X=0.0670	

_10_	N=2000	M=1692		S=308	Z=25	B=274	D1=221	D2=224	C=0.1934	D=0.9866	X=0.0721	

_11_	N=200	M=165		S=35	Z=21	B=96	D1=64	D2=60	C=0.3750	D=0.9375	X=0.0591	

_12_	N=400	M=326		S=74	Z=25	B=164	D1=106	D2=108	C=0.3537	D=0.9815	X=0.0660	

_13_	N=600	M=494		S=106	Z=23	B=185	D1=131	D2=128	C=0.3081	D=0.9771	X=0.0641	

_14_	N=800	M=669		S=131	Z=25	B=229	D1=163	D2=169	C=0.2882	D=0.9645	X=0.0665	

_15_	N=1000	M=827		S=173	Z=25	B=222	D1=168	D2=172	C=0.2432	D=0.9767	X=0.0644	

_16_	N=1200	M=988		S=212	Z=23	B=260	D1=195	D2=198	C=0.2500	D=0.9848	X=0.0647	

_17_	N=1400	M=1145		S=255	Z=23	B=264	D1=202	D2=208	C=0.2348	D=0.9712	X=0.0669	

_18_	N=1600	M=1346		S=254	Z=24	B=275	D1=222	D2=219	C=0.2036	D=0.9865	X=0.0663	

_19_	N=1800	M=1460		S=340	Z=24	B=275	D1=219	D2=232	C=0.2036	D=0.9440	X=0.0666	

_20_	N=2000	M=1642		S=358	Z=25	B=309	D1=259	D2=244	C=0.2104	D=0.9421	X=0.0642	

_21_	N=200	M=168		S=32	Z=22	B=107	D1=62	D2=64	C=0.4206	D=0.9688	X=0.0645	

_22_	N=400	M=334		S=66	Z=24	B=157	D1=100	D2=107	C=0.3631	D=0.9346	X=0.0665	

_23_	N=600	M=491		S=109	Z=24	B=200	D1=141	D2=138	C=0.3100	D=0.9787	X=0.0671	

_24_	N=800	M=675		S=125	Z=24	B=209	D1=162	D2=162	C=0.2249	D=1.0000	X=0.0649	

_25_	N=1000	M=832		S=168	Z=26	B=242	D1=185	D2=172	C=0.2893	D=0.9297	X=0.0695	

_26_	N=1200	M=991		S=209	Z=24	B=255	D1=200	D2=189	C=0.2588	D=0.9450	X=0.0674	

_27_	N=1400	M=1190		S=210	Z=25	B=256	D1=205	D2=198	C=0.2266	D=0.9659	X=0.0626	

_28_	N=1600	M=1337		S=263	Z=26	B=274	D1=222	D2=219	C=0.2007	D=0.9865	X=0.0664	

_29_	N=1800	M=1503		S=297	Z=26	B=280	D1=224	D2=222	C=0.2071	D=0.9911	X=0.0662	

_30_	N=2000	M=1696		S=304	Z=25	B=302	D1=248	D2=244	C=0.1921	D=0.9839	X=0.0677	

_31_	N=200	M=169		S=31	Z=21	B=81	D1=51	D2=56	C=0.3704	D=0.9107	X=0.0719	

_32_	N=400	M=337		S=63	Z=23	B=125	D1=85	D2=87	C=0.3200	D=0.9770	X=0.0690	

_33_	N=600	M=503		S=97	Z=25	B=176	D1=125	D2=126	C=0.2898	D=0.9921	X=0.0682	

_34_	N=800	M=656		S=144	Z=24	B=193	D1=149	D2=143	C=0.2591	D=0.9597	X=0.0668	

_35_	N=1000	M=839		S=161	Z=24	B=208	D1=157	D2=160	C=0.2452	D=0.9812	X=0.0674	

_36_	N=1200	M=1002		S=198	Z=25	B=235	D1=180	D2=169	C=0.2809	D=0.9389	X=0.0685	

_37_	N=1400	M=1163		S=237	Z=26	B=264	D1=201	D2=210	C=0.2386	D=0.9571	X=0.0640	

_38_	N=1600	M=1341		S=259	Z=25	B=289	D1=236	D2=225	C=0.2215	D=0.9534	X=0.0625	

_39_	N=1800	M=1510		S=290	Z=25	B=282	D1=212	D2=229	C=0.2482	D=0.9258	X=0.0671	

_40_	N=2000	M=1656		S=344	Z=25	B=269	D1=217	D2=219	C=0.1933	D=0.9909	X=0.0688	

_41_	N=200	M=159		S=41	Z=23	B=104	D1=64	D2=61	C=0.4135	D=0.9531	X=0.0676	

_42_	N=400	M=336		S=64	Z=22	B=144	D1=103	D2=102	C=0.2917	D=0.9903	X=0.0708	

_43_	N=600	M=503		S=97	Z=24	B=196	D1=146	D2=143	C=0.2704	D=0.9795	X=0.0624	

_44_	N=800	M=677		S=123	Z=26	B=210	D1=153	D2=154	C=0.2714	D=0.9935	X=0.0690	

_45_	N=1000	M=847		S=153	Z=25	B=225	D1=167	D2=167	C=0.2578	D=1.0000	X=0.0669	

_46_	N=1200	M=1004		S=196	Z=24	B=245	D1=193	D2=191	C=0.2204	D=0.9896	X=0.0697	

_47_	N=1400	M=1181		S=219	Z=24	B=223	D1=173	D2=171	C=0.2332	D=0.9884	X=0.0672	

_48_	N=1600	M=1377		S=223	Z=25	B=292	D1=228	D2=233	C=0.2192	D=0.9785	X=0.0638	

_49_	N=1800	M=1518		S=282	Z=25	B=283	D1=231	D2=217	C=0.2332	D=0.9394	X=0.0663	

_50_	N=2000	M=1655		S=345	Z=25	B=285	D1=240	D2=221	C=0.2246	D=0.9208	X=0.0685	

_51_	N=200	M=155		S=45	Z=20	B=87	D1=55	D2=52	C=0.4023	D=0.9455	X=0.0819	

_52_	N=400	M=323		S=77	Z=22	B=157	D1=105	D2=97	C=0.3822	D=0.9238	X=0.0632	

_53_	N=600	M=480		S=120	Z=22	B=191	D1=139	D2=135	C=0.2932	D=0.9712	X=0.0645	

_54_	N=800	M=626		S=174	Z=25	B=222	D1=157	D2=154	C=0.3063	D=0.9809	X=0.0666	

_55_	N=1000	M=783		S=217	Z=22	B=223	D1=164	D2=167	C=0.2646	D=0.9820	X=0.0662	

_56_	N=1200	M=938		S=262	Z=23	B=251	D1=187	D2=189	C=0.2550	D=0.9894	X=0.0674	

_57_	N=1400	M=1138		S=262	Z=26	B=281	D1=221	D2=213	C=0.2420	D=0.9638	X=0.0646	

_58_	N=1600	M=1275		S=325	Z=23	B=258	D1=202	D2=202	C=0.2171	D=1.0000	X=0.0686	

_59_	N=1800	M=1438		S=362	Z=25	B=282	D1=224	D2=221	C=0.2163	D=0.9866	X=0.0671	

_60_	N=2000	M=1576		S=424	Z=22	B=308	D1=240	D2=252	C=0.2208	D=0.9524	X=0.0641	

_61_	N=200	M=170		S=30	Z=22	B=111	D1=66	D2=63	C=0.4324	D=0.9545	X=0.0629	

_62_	N=400	M=326		S=74	Z=24	B=179	D1=112	D2=113	C=0.3743	D=0.9912	X=0.0625	

_63_	N=600	M=485		S=115	Z=22	B=168	D1=113	D2=129	C=0.3274	D=0.8760	X=0.0674	

_64_	N=800	M=684		S=116	Z=23	B=203	D1=150	D2=144	C=0.2906	D=0.9600	X=0.0698	

_65_	N=1000	M=820		S=180	Z=24	B=242	D1=192	D2=168	C=0.3058	D=0.8750	X=0.0655	

_66_	N=1200	M=955		S=245	Z=24	B=247	D1=187	D2=184	C=0.2551	D=0.9840	X=0.0651	

_67_	N=1400	M=1152		S=248	Z=26	B=291	D1=214	D2=229	C=0.2646	D=0.9345	X=0.0635	

_68_	N=1600	M=1306		S=294	Z=24	B=298	D1=235	D2=227	C=0.2383	D=0.9660	X=0.0608	

_69_	N=1800	M=1498		S=302	Z=26	B=327	D1=264	D2=248	C=0.2416	D=0.9394	X=0.0622	

_70_	N=2000	M=1649		S=351	Z=25	B=324	D1=258	D2=254	C=0.2160	D=0.9845	X=0.0622	

_71_	N=200	M=165		S=35	Z=20	B=113	D1=65	D2=66	C=0.4248	D=0.9848	X=0.0595	

_72_	N=400	M=321		S=79	Z=24	B=184	D1=115	D2=120	C=0.3750	D=0.9583	X=0.0575	

_73_	N=600	M=500		S=100	Z=25	B=208	D1=146	D2=143	C=0.3125	D=0.9795	X=0.0621	

_74_	N=800	M=657		S=143	Z=24	B=238	D1=166	D2=171	C=0.3025	D=0.9708	X=0.0618	

_75_	N=1000	M=845		S=155	Z=24	B=261	D1=182	D2=194	C=0.3027	D=0.9381	X=0.0671	

_76_	N=1200	M=990		S=210	Z=25	B=279	D1=202	D2=208	C=0.2760	D=0.9712	X=0.0609	

_77_	N=1400	M=1157		S=243	Z=24	B=275	D1=224	D2=215	C=0.2182	D=0.9598	X=0.0627	

_78_	N=1600	M=1305		S=295	Z=24	B=289	D1=241	D2=230	C=0.2042	D=0.9544	X=0.0640	

_79_	N=1800	M=1470		S=330	Z=24	B=305	D1=242	D2=236	C=0.2262	D=0.9752	X=0.0660	

_80_	N=2000	M=1649		S=351	Z=26	B=325	D1=260	D2=250	C=0.2308	D=0.9615	X=0.0631	

_81_	N=200	M=160		S=40	Z=23	B=111	D1=63	D2=64	C=0.4324	D=0.9844	X=0.0664	

_82_	N=400	M=320		S=80	Z=22	B=149	D1=95	D2=94	C=0.3691	D=0.9895	X=0.0653	

_83_	N=600	M=484		S=116	Z=22	B=192	D1=130	D2=139	C=0.3229	D=0.9353	X=0.0659	

_84_	N=800	M=637		S=163	Z=24	B=230	D1=155	D2=166	C=0.3261	D=0.9337	X=0.0622	

_85_	N=1000	M=813		S=187	Z=23	B=242	D1=176	D2=184	C=0.2727	D=0.9565	X=0.0635	

_86_	N=1200	M=976		S=224	Z=24	B=255	D1=204	D2=192	C=0.2471	D=0.9412	X=0.0689	

_87_	N=1400	M=1126		S=274	Z=24	B=274	D1=206	D2=213	C=0.2482	D=0.9671	X=0.0653	

_88_	N=1600	M=1295		S=305	Z=26	B=287	D1=226	D2=226	C=0.2125	D=1.0000	X=0.0636	

